id	scientific	en	fi	raw	category	energy	fat	sugar	fiber
442	VACCINIUM MYRTILLUS	BLUEBERRY, BILBERRY	MUSTIKKA, METSÄMUSTIKKA	true	Hedelmät	64.74426386233269	1.059	8.391	3.3
444	RIBES NIGRUM	BLACKCURRANT	MUSTAHERUKKA	true	Hedelmät	74.11567877629064	1.089	8.575	5.8
445	RIBES RUBRUM RIBES*PALLIDUM	REDCURRANT	PUNAHERUKKA	true	Hedelmät	56.661089866156786	0.4	7.5	5
446	RIBES UVA-CRISPA	GOOSEBERRY	KARVIAINEN	true	Hedelmät	39.885277246653914	0.4	5.4	3.4
447	FRAGARIA ANANASSA	STRAWBERRY	MANSIKKA	true	Hedelmät	44.63193116634799	0.313	7.024	1.9
448	RUBUS IDAEUS	RASPBERRY	VADELMA	true	Hedelmät	47.61472275334608	0.789	5.294	3.7
449	RUBUS CHAMAEMORUS	CLOUDBERRY	LAKKA, SUOMUURAIN, HILLA	true	Hedelmät	55.205544933078386	1.057	5.812	6.3
455	HIPPOPHAE RHAMNOIDES	SEA BUCKTHORN BERRY	TYRNIMARJA	true	Hedelmät	56.613288718929255	3.22	2.09	3.6
457	SORBUS AUCUPARIA	ROWANBERRY, SORBUS	PIHLAJANMARJA	true	Hedelmät	74.69646271510516	1.18	4.1	6.5
477	CUCUMIS MELO VAR. CANTALUPENSIS/RETICULATA	MUSKMELON/CANTALOUPE MELON, WITHOUT SKIN	MELONI, VERKKOMELONI/CANTALOUPEMELONI, KUORITTU	true	Hedelmät	22.61950286806883	0.19	4.1	0.9
11007	ROSA RUGOSA	ROSE HIP	RUUSUNMARJA	true	Hedelmät	54.09655831739962	0.1	5.97	8.3
11030	SECALE CEREALE	FLOUR, RYE, FINE RYE FLOUR	JAUHO, RUISSIHTIJAUHO	true	Viljat	341.25239005736137	1.5	0.5	9.4
11045	CITRUS SINENSIS	ORANGE WITHOUT SKIN	APPELSIINI, KUORITTU	true	Hedelmät	45.67877629063098	0.14	8.9	2.1
11046	CITRUS RETICULATA	MANDARIN, AVERAGE, WITHOUT SKIN	MANDARIINI, KUORITTU	true	Hedelmät	45.40152963671128	0.3	8.2	1.9
11047	CITRUS PARADISI	GRAPEFRUIT, WITHOUT SKIN	GREIPPI, KUORITTU	true	Hedelmät	35.16969407265774	0.3	6.5	1.4
11048	CITRUS LIMON	LEMON, WITHOUT SKIN	SITRUUNA, KUORITTU	true	Hedelmät	32.918260038240916	0.17	2.2	2.8
11049	MUSA SAPIENTUM	BANANA, WITHOUT SKIN	BANAANI, KUORITTU	true	Hedelmät	87.57648183556405	0.4	13.5	1.8
